	Phenotype_ID	Description	q	nq	tot	Phenotype_score
70	HP:0410073	Increased level of ribose in CSF	1.0	0.1	1	6.42805644575
71	HP:0004902	Congenital lactic acidosis	1.0	0.1	1	6.42805644575
72	HP:0000650	Abnormal amplitude of pattern reversal visual evoked potentials	1.0	0.1	1	6.42805644575
73	HP:0007456	Progressive reticulate hyperpigmentation	1.0	0.1	1	6.42805644575
74	HP:0410071	Increased level of ribitol in CSF	1.0	0.1	1	6.42805644575
75	HP:0003536	Decreased fumarate hydratase activity	1.0	0.1	1	6.42805644575
76	HP:0003535	3-Methylglutaconic aciduria	10.0	1.0	11	6.42805644575
77	HP:0003533	Delayed oxidation of acetaldehyde	1.0	0.1	1	6.42805644575
78	HP:0005886	Aphalangy of the hands	1.0	0.1	1	6.42805644575
79	HP:0012898	Abnormal lower-limb motor evoked potentials	1.0	0.1	1	6.42805644575
80	HP:0008335	Renal aminoaciduria	1.0	0.1	1	6.42805644575
81	HP:0012087	Abnormal mitochondrial shape	1.0	0.1	1	6.42805644575
82	HP:0100321	Abnormality of the dentate nucleus	1.0	0.1	1	6.42805644575
83	HP:0007620	Cutaneous leiomyoma	1.0	0.1	1	6.42805644575
84	HP:0410072	Increased level of ribose in urine	1.0	0.1	1	6.42805644575
85	HP:0004901	Exercise-induced lactic acidemia	1.0	0.1	1	6.42805644575
86	HP:0410070	Increased level of ribitol in urine	1.0	0.1	1	6.42805644575
87	HP:0004454	Abnormal middle ear reflexes	1.0	0.1	1	6.42805644575
88	HP:0100291	Abnormality of central somatosensory evoked potentials	1.0	0.1	1	6.42805644575
89	HP:0008306	Abnormal iron deposition in mitochondria	1.0	0.1	1	6.42805644575
90	HP:0040147	L-2-hydroxyglutaric acidemia	1.0	0.1	1	6.42805644575
91	HP:0031233	Horizontal inferior border of scapula	1.0	0.1	1	6.42805644575
92	HP:0007727	Opacification of the corneal epithelium	1.0	0.1	1	6.42805644575
93	HP:0005932	Abnormal renal corticomedullary differentiation	1.0	0.1	1	6.42805644575
94	HP:0025474	Erythematous plaque	1.0	0.1	1	6.42805644575
95	HP:0012854	Midshaft hypospadias	1.0	0.1	1	6.42805644575
96	HP:0006755	Cutaneous leiomyosarcoma	1.0	0.1	1	6.42805644575
97	HP:0007335	Recurrent encephalopathy	1.0	0.1	1	6.42805644575
98	HP:0010924	Posterior cortical cataract	1.0	0.1	1	6.42805644575
99	HP:0002932	Aldehyde oxidase deficiency	1.0	0.1	1	6.42805644575
100	HP:0012187	Increased erythrocyte protoporphyrin concentration	1.0	0.1	1	6.42805644575
101	HP:0009141	Depletion of mitochondrial DNA in muscle tissue	1.0	0.1	1	6.42805644575
102	HP:0012670	Orthostatic syncope	1.0	0.1	1	6.42805644575
103	HP:0030183	Impaired visually enhanced vestibulo-ocular reflex	1.0	0.1	1	6.42805644575
104	HP:0008504	Moderate sensorineural hearing impairment	1.0	0.1	1	6.42805644575
105	HP:0010913	Hyperisoleucinemia	1.0	0.1	1	6.42805644575
106	HP:0012752	Focal T2 hypointense basal ganglia lesion	1.0	0.1	1	6.42805644575
107	HP:0012402	Increased urine alpha-ketoglutarate concentration	1.0	0.1	1	6.42805644575
108	HP:0025435	Increased lactate dehydrogenase activity	1.0	0.1	1	6.42805644575
109	HP:0012401	Abnormal urine alpha-ketoglutarate concentration	1.0	0.1	1	6.42805644575
110	HP:0007795	Anterior cortical cataract	1.0	0.1	1	6.42805644575
111	HP:0007190	Neuronal loss in the cerebral cortex	1.0	0.1	1	6.42805644575
112	HP:0006789	Mitochondrial encephalopathy	1.0	0.1	1	6.42805644575
113	HP:0011966	Elevated plasma citrulline	1.0	0.1	1	6.42805644575
114	HP:0007258	Severe demyelination of the white matter	1.0	0.1	1	6.42805644575
115	HP:0010473	Porphyrinuria	1.0	0.1	1	6.42805644575
116	HP:0012598	Abnormal urine potassium concentration	1.0	0.1	1	6.42805644575
117	HP:0005472	Orbital craniosynostosis	1.0	0.1	1	6.42805644575
118	HP:0007117	Corticospinal tract atrophy	1.0	0.1	1	6.42805644575
119	HP:0006581	Depletion of mitochondrial DNA in liver	1.0	0.1	1	6.42805644575
120	HP:0007187	Focal lissencephaly	1.0	0.1	1	6.42805644575
121	HP:0011021	Abnormality of circulating enzyme level	1.0	0.1	1	6.42805644575
122	HP:0007574	Generalized bronze hyperpigmentation	1.0	0.1	1	6.42805644575
123	HP:0006366	Adductor longus contractures	1.0	0.1	1	6.42805644575
124	HP:0002450	Abnormal motor neuron morphology	1.0	0.1	1	6.42805644575
125	HP:0004618	Sandwich appearance of vertebral bodies	1.0	0.1	1	6.42805644575
126	HP:0008293	Long-chain dicarboxylic aciduria	1.0	0.1	1	6.42805644575
127	HP:0007199	Progressive spastic paraparesis	1.0	0.1	1	6.42805644575
128	HP:0005525	Spontaneous hemolytic crises	1.0	0.1	1	6.42805644575
129	HP:0007063	Aplasia of the inferior half of the cerebellar vermis	1.0	0.1	1	6.42805644575
130	HP:0005201	Anomalous splenoportal venous system	1.0	0.1	1	6.42805644575
131	HP:0030230	Central core regions in muscle fibers	1.0	0.1	1	6.42805644575
132	HP:0005977	Hypochloremic metabolic alkalosis	1.0	0.1	1	6.42805644575
133	HP:0003606	Absent urinary urothione	1.0	0.1	1	6.42805644575
134	HP:0003209	Decreased pyruvate carboxylase activity	1.0	0.1	1	6.42805644575
135	HP:0030856	Posterior staphyloma	1.0	0.1	1	6.42805644575
136	HP:0004856	Normochromic microcytic anemia	1.0	0.1	1	6.42805644575
137	HP:0011346	Mild expressive language delay	1.0	0.1	1	6.42805644575
138	HP:0008162	Asymptomatic hyperammonemia	1.0	0.1	1	6.42805644575
139	HP:0040291	Skeletal muscle steatosis	1.0	0.1	1	6.42805644575
140	HP:0008038	Aplastic/hypoplastic lacrimal glands	1.0	0.1	1	6.42805644575
141	HP:0040290	Abnormality of skeletal muscles	1.0	0.1	1	6.42805644575
142	HP:0012071	Abnormality of acetylcarnitine metabolism	1.0	0.1	1	6.42805644575
143	HP:0006732	Papillary renal cell carcinoma type 2	1.0	0.1	1	6.42805644575
144	HP:0030528	Paracentral scotoma	1.0	0.1	1	6.42805644575
145	HP:0007179	Absent smooth pursuit	1.0	0.1	1	6.42805644575
146	HP:0001033	Facial flushing after alcohol intake	1.0	0.1	1	6.42805644575
147	HP:0007023	Antenatal intracerebral hemorrhage	1.0	0.1	1	6.42805644575
148	HP:0009468	Deviation of the 2nd finger	1.0	0.1	1	6.42805644575
149	HP:0009725	Bladder neoplasm	1.0	0.1	1	6.42805644575
150	HP:0011935	Decreased urinary urate	1.0	0.1	1	6.42805644575
151	HP:0007438	Mottled pigmentation of the trunk and proximal extremities	1.0	0.1	1	6.42805644575
152	HP:0011936	Decreased plasma total carnitine	1.0	0.1	1	6.42805644575
153	HP:0006582	Reye syndrome-like episodes	1.0	0.1	1	6.42805644575
154	HP:0007437	Multiple cutaneous leiomyomas	1.0	0.1	1	6.42805644575
155	HP:0025109	Reduced red cell pyruvate kinase activity	1.0	0.1	1	6.42805644575
156	HP:0030369	Induced vaginal delivery	1.0	0.1	1	6.42805644575
157	HP:0010873	Cervical spinal cord atrophy	1.0	0.1	1	6.42805644575
158	HP:0005211	Midgut malrotation	1.0	0.1	1	6.42805644575
159	HP:0006964	Cerebral cortical neurodegeneration	1.0	0.1	1	6.42805644575
160	HP:0003133	Abnormality of the spinocerebellar tracts	1.0	0.1	1	6.42805644575
161	HP:0008279	Transient hyperlipidemia	1.0	0.1	1	6.42805644575
162	HP:0003652	Recurrent myoglobinuria	1.0	0.1	1	6.42805644575
163	HP:0008798	Widened sacrosciatic notch	1.0	0.1	1	6.42805644575
164	HP:0004688	Irregular tarsal bones	1.0	0.1	1	6.42805644575
165	HP:0007132	Pallidal degeneration	1.0	0.1	1	6.42805644575
166	HP:0012079	Abnormality of central motor conduction	1.0	0.1	1	6.42805644575
167	HP:0006558	Decreased mitochondrial complex III activity in liver tissue	1.0	0.1	1	6.42805644575
168	HP:0007713	Juvenile zonular cataracts	1.0	0.1	1	6.42805644575
169	HP:0100595	Camptocormia	1.0	0.1	1	6.42805644575
170	HP:0008182	Adrenocortical hypoplasia	1.0	0.1	1	6.42805644575
171	HP:0002068	Neuromuscular dysphagia	1.0	0.1	1	6.42805644575
172	HP:0410068	Increased level of L-glutamic acid in blood	1.0	0.1	1	6.42805644575
173	HP:0007831	Nonprogressive restrictive external ophthalmoplegia	1.0	0.1	1	6.42805644575
174	HP:0006723	Intestinal carcinoid	1.0	0.1	1	6.42805644575
175	HP:0007494	Discrete 2 to 5-mm hyper- and hypopigmented macules	1.0	0.1	1	6.42805644575
176	HP:0030674	Antenatal onset	1.0	0.1	1	6.42805644575
177	HP:0012517	Reduced catalase activity	1.0	0.1	1	6.42805644575
178	HP:0012026	Hyperornithinemia	1.0	0.1	1	6.42805644575
179	HP:0011943	Increased urinary thiosulfate	1.0	0.1	1	6.42805644575
180	HP:0004863	Compensated hemolytic anemia	1.0	0.1	1	6.42805644575
181	HP:0004861	Refractory macrocytic anemia	1.0	0.1	1	6.42805644575
182	HP:0011993	Impaired neutrophil bactericidal activity	1.0	0.1	1	6.42805644575
183	HP:0002927	Histidinuria	1.0	0.1	1	6.42805644575
184	HP:0010940	Aplasia/Hypoplasia of the nasal bone	1.0	0.1	1	6.42805644575
185	HP:0031417	Rhinorrhea	1.0	0.1	1	6.42805644575
186	HP:0006929	Hypoglycemic encephalopathy	1.0	0.1	1	6.42805644575
187	HP:0011925	Decreased activity of mitochondrial ATP synthase complex	1.0	0.1	1	6.42805644575
188	HP:0006915	Inability to walk by childhood/adolescence	1.0	0.1	1	6.42805644575
189	HP:0030915	Cerebellar edema	1.0	0.1	1	6.42805644575
190	HP:0410051	Increased level of 3-hydroxy-3-methylglutaric acid in urine	1.0	0.1	1	6.42805644575
191	HP:0000816	Abnormality of Krebs cycle metabolism	1.0	0.1	1	6.42805644575
192	HP:0030507	Retinal crystals	1.0	0.1	1	6.42805644575
193	HP:0003568	Decreased glucosephosphate isomerase activity	1.0	0.1	1	6.42805644575
194	HP:0003329	Hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes	1.0	0.1	1	6.42805644575
195	HP:0410056	Decreased level of erythritol in CSF	1.0	0.1	1	6.42805644575
196	HP:0410057	Increased level of D-threitol in plasma	1.0	0.1	1	6.42805644575
197	HP:0410055	Decreased level of erythritol in urine	1.0	0.1	1	6.42805644575
198	HP:0410058	Increased level of D-threitol in CSF	1.0	0.1	1	6.42805644575
199	HP:0030796	Increased C-peptide level	1.0	0.1	1	6.42805644575
200	HP:0410059	Increased level of D-threitol in urine	1.0	0.1	1	6.42805644575
201	HP:0031138	Abnormal B-type natriuretic peptide level	1.0	0.1	1	6.42805644575
202	HP:0003232	Mitochondrial malic enzyme reduced	1.0	0.1	1	6.42805644575
203	HP:0005941	Intermittent hyperpnea at rest	1.0	0.1	1	6.42805644575
204	HP:0030015	Female anorgasmia	1.0	0.1	1	6.42805644575
205	HP:0005198	Stiff interphalangeal joints	1.0	0.1	1	6.42805644575
206	HP:0007530	Punctate palmoplantar hyperkeratosis	1.0	0.1	1	6.42805644575
207	HP:0010892	Abnormality of branched chain family amino acid metabolism	1.0	0.1	1	6.42805644575
208	HP:0008309	Medium chain dicarboxylic aciduria	1.0	0.1	1	6.42805644575
209	HP:0009805	Low-output congestive heart failure	1.0	0.1	1	6.42805644575
210	HP:0045016	Elevated serum long-chain fatty acids	1.0	0.1	1	6.42805644575
211	HP:0012712	Mild hearing impairment	1.0	0.1	1	6.42805644575
212	HP:0030781	Increased circulating free fatty acid level	1.0	0.1	1	6.42805644575
213	HP:0002181	Cerebral edema	29.0	4.0	33	5.96410934599
214	HP:0003348	Hyperalaninemia	14.0	2.0	16	5.91348327292
215	HP:0410066	Increased level of hippuric acid in urine	6.0	1.0	7	5.69109085158
216	HP:0002151	Increased serum lactate	112.0	22.0	134	5.45405165428
217	HP:0003215	Dicarboxylic aciduria	5.0	1.0	6	5.42805644575
218	HP:0011695	Cerebellar hemorrhage	5.0	1.0	6	5.42805644575
219	HP:0003234	Decreased plasma carnitine	10.0	2.0	12	5.42805644575
220	HP:0004481	Progressive macrocephaly	20.0	4.0	24	5.42805644575
221	HP:0006980	Progressive leukoencephalopathy	5.0	1.0	6	5.42805644575
222	HP:0003128	Lactic acidosis	124.0	25.0	149	5.41646847147
223	HP:0200125	Mitochondrial respiratory chain defects	14.0	3.0	17	5.3285207722
224	HP:0003688	Cytochrome C oxidase-negative muscle fibers	18.0	4.0	22	5.2760533523
225	HP:0001112	Leber optic atrophy	9.0	2.0	11	5.2760533523
226	HP:0003548	Subsarcolemmal accumulations of abnormally shaped mitochondria	4.0	1.0	5	5.10612835086
227	HP:0002154	Hyperglycinemia	8.0	2.0	10	5.10612835086
228	HP:0001924	Sideroblastic anemia	8.0	2.0	10	5.10612835086
229	HP:0006565	Increased hepatocellular lipid droplets	12.0	3.0	15	5.10612835086
230	HP:0001427	Mitochondrial inheritance	54.0	14.0	68	5.05366093097
231	HP:0003108	Hyperglycinuria	10.0	3.0	13	4.84309394503
232	HP:0007924	Slow decrease in visual acuity	13.0	4.0	17	4.806568069
233	HP:0007020	Progressive spastic paraplegia	28.0	9.0	37	4.74355827148
234	HP:0007378	Neoplasm of the gastrointestinal tract	3.0	1.0	4	4.69109085158
235	HP:0005974	Episodic ketoacidosis	3.0	1.0	4	4.69109085158
236	HP:0002640	Hypertension associated with pheochromocytoma	3.0	1.0	4	4.69109085158
237	HP:0008331	Elevated creatine kinase after exercise	3.0	1.0	4	4.69109085158
238	HP:0000590	Progressive external ophthalmoplegia	13.0	5.0	18	4.48463997412
239	HP:0001992	Organic aciduria	10.0	4.0	14	4.42805644575
240	HP:0012240	Increased intramyocellular lipid droplets	17.0	7.0	24	4.38623627005
241	HP:0002415	Leukodystrophy	49.0	22.0	71	4.26140657634
242	HP:0003546	Exercise intolerance	52.0	24.0	76	4.22160556828
243	HP:0001987	Hyperammonemia	28.0	13.0	41	4.21304355478
244	HP:0002793	Abnormal pattern of respiration	17.0	8.0	25	4.19359119211
245	HP:0003689	Multiple mitochondrial DNA deletions	4.0	2.0	6	4.10612835086
246	HP:0002590	Paralytic ileus	2.0	1.0	3	4.10612835086
247	HP:0002921	Abnormality of the cerebrospinal fluid	2.0	1.0	3	4.10612835086
248	HP:0003574	Positive regitine blocking test	8.0	4.0	12	4.10612835086
249	HP:0008786	Iliac crest serration	2.0	1.0	3	4.10612835086
250	HP:0003345	Elevated urinary norepinephrine	8.0	4.0	12	4.10612835086
251	HP:0000740	Episodic paroxysmal anxiety	8.0	4.0	12	4.10612835086
252	HP:0004911	Episodic metabolic acidosis	2.0	1.0	3	4.10612835086
253	HP:0008288	Nonketotic hyperglycinemia	2.0	1.0	3	4.10612835086
254	HP:0012664	Reduced ejection fraction	4.0	2.0	6	4.10612835086
255	HP:0010532	Paroxysmal vertigo	8.0	4.0	12	4.10612835086
256	HP:0003639	Elevated urinary epinephrine	8.0	4.0	12	4.10612835086
257	HP:0012119	Methemoglobinemia	2.0	1.0	3	4.10612835086
258	HP:0003434	Sensory ataxic neuropathy	2.0	1.0	3	4.10612835086
259	HP:0006737	Extraadrenal pheochromocytoma	8.0	4.0	12	4.10612835086
260	HP:0009045	Exercise-induced rhabdomyolysis	2.0	1.0	3	4.10612835086
261	HP:0008629	Pulsatile tinnitus	8.0	4.0	12	4.10612835086
262	HP:0002864	Paraganglioma of head and neck	8.0	4.0	12	4.10612835086
263	HP:0012639	Abnormality of nervous system morphology	2.0	1.0	3	4.10612835086
264	HP:0003731	Quadriceps muscle weakness	4.0	2.0	6	4.10612835086
265	HP:0025403	Stooped posture	2.0	1.0	3	4.10612835086
266	HP:0009711	Retinal capillary hemangioma	8.0	4.0	12	4.10612835086
267	HP:0012819	Myocarditis	2.0	1.0	3	4.10612835086
268	HP:0006280	Chronic pancreatitis	2.0	1.0	3	4.10612835086
269	HP:0001994	Renal Fanconi syndrome	12.0	7.0	19	3.88373592952
270	HP:0006748	Adrenal pheochromocytoma	8.0	5.0	13	3.78420025597
271	HP:0012222	Arachnoid hemangiomatosis	8.0	5.0	13	3.78420025597
272	HP:0011979	Elevated urinary dopamine	8.0	5.0	13	3.78420025597
273	HP:0031284	Flushing	8.0	5.0	13	3.78420025597
274	HP:0001095	Hypertensive retinopathy	8.0	5.0	13	3.78420025597
275	HP:0001946	Ketosis	11.0	7.0	18	3.75820504744
276	HP:0007763	Retinal telangiectasia	11.0	7.0	18	3.75820504744
277	HP:0012841	Retinal vascular tortuosity	11.0	7.0	18	3.75820504744
278	HP:0001138	Optic neuropathy	14.0	9.0	23	3.74355827148
279	HP:0003737	Mitochondrial myopathy	20.0	13.0	33	3.72761672761
280	HP:0001942	Metabolic acidosis	38.0	25.0	63	3.71019967453
281	HP:0000875	Episodic hypertension	3.0	2.0	5	3.69109085158
282	HP:0000552	Tritanomaly	3.0	2.0	5	3.69109085158
283	HP:0000642	Red-green dyschromatopsia	3.0	2.0	5	3.69109085158
284	HP:0003107	Abnormality of cholesterol metabolism	3.0	2.0	5	3.69109085158
285	HP:0006846	Acute encephalopathy	3.0	2.0	5	3.69109085158
286	HP:0002416	Subependymal cysts	3.0	2.0	5	3.69109085158
287	HP:0030186	Kinetic tremor	3.0	2.0	5	3.69109085158
288	HP:0002038	Protein avoidance	3.0	2.0	5	3.69109085158
289	HP:0001950	Respiratory alkalosis	3.0	2.0	5	3.69109085158
290	HP:0003210	Decreased methylmalonyl-CoA mutase activity	3.0	2.0	5	3.69109085158
291	HP:0011531	Vitritis	3.0	2.0	5	3.69109085158
292	HP:0003159	Hyperoxaluria	3.0	2.0	5	3.69109085158
293	HP:0003542	Increased serum pyruvate	10.0	7.0	17	3.62070152369
294	HP:0001325	Hypoglycemic coma	7.0	5.0	12	3.59155517803
295	HP:0001254	Lethargy	67.0	49.0	116	3.5575076972
296	HP:0007305	CNS demyelination	19.0	14.0	33	3.54670094225
297	HP:0000017	Nocturia	4.0	3.0	7	3.52116585014
298	HP:0002331	Recurrent paroxysmal headache	8.0	6.0	14	3.52116585014
299	HP:0002668	Paraganglioma	4.0	3.0	7	3.52116585014
300	HP:0001259	Coma	46.0	35.0	81	3.50040728997
301	HP:0002909	Generalized aminoaciduria	5.0	4.0	9	3.42805644575
302	HP:0002578	Gastroparesis	12.0	10.0	22	3.3691627567
303	HP:0000603	Central scotoma	18.0	15.0	33	3.3691627567
304	HP:0012120	Methylmalonic aciduria	8.0	7.0	15	3.2987734288
305	HP:0003528	Elevated calcitonin	8.0	7.0	15	3.2987734288
306	HP:0003287	Abnormality of mitochondrial metabolism	9.0	8.0	17	3.2760533523
307	HP:0000998	Hypertrichosis	31.0	28.0	59	3.25296973919
308	HP:0003200	Ragged-red muscle fibers	25.0	23.0	48	3.22642258458
309	HP:0001943	Hypoglycemia	63.0	61.0	124	3.1526709368
310	HP:0002403	Positive Romberg sign	4.0	4.0	8	3.10612835086
311	HP:0007052	Multifocal cerebral white matter abnormalities	1.0	1.0	2	3.10612835086
312	HP:0008073	Low maternal serum estriol	1.0	1.0	2	3.10612835086
313	HP:0004871	Perineal fistula	1.0	1.0	2	3.10612835086
314	HP:0011746	Secretory adrenocortical adenoma	1.0	1.0	2	3.10612835086
315	HP:0025461	Abnormal cell morphology	2.0	2.0	4	3.10612835086
316	HP:0006368	Forearm reduction defects	1.0	1.0	2	3.10612835086
317	HP:0006719	Benign gastrointestinal tract tumors	1.0	1.0	2	3.10612835086
318	HP:0002339	Abnormal caudate nucleus morphology	1.0	1.0	2	3.10612835086
319	HP:0001477	Compensatory chin elevation	1.0	1.0	2	3.10612835086
320	HP:0008760	Violent behavior	1.0	1.0	2	3.10612835086
321	HP:0000031	Epididymitis	1.0	1.0	2	3.10612835086
322	HP:0001403	Macrovesicular hepatic steatosis	5.0	5.0	10	3.10612835086
323	HP:0012241	Levator palpebrae superioris atrophy	1.0	1.0	2	3.10612835086
324	HP:0009062	Infantile axial hypotonia	1.0	1.0	2	3.10612835086
325	HP:0001604	Vocal cord paresis	3.0	3.0	6	3.10612835086
326	HP:0001293	Cranial nerve compression	8.0	8.0	16	3.10612835086
327	HP:0040187	Neonatal sepsis	1.0	1.0	2	3.10612835086
328	HP:0005502	Increased red cell osmotic fragility	2.0	2.0	4	3.10612835086
329	HP:0002191	Progressive spasticity	4.0	4.0	8	3.10612835086
330	HP:0006573	Acute hepatic steatosis	1.0	1.0	2	3.10612835086
331	HP:0010575	Dysplasia of the femoral head	1.0	1.0	2	3.10612835086
332	HP:0003106	Subperiosteal bone resorption	1.0	1.0	2	3.10612835086
333	HP:0003116	Abnormal echocardiogram	1.0	1.0	2	3.10612835086
334	HP:0007313	Cerebral degeneration	1.0	1.0	2	3.10612835086
335	HP:0006858	Impaired distal proprioception	2.0	2.0	4	3.10612835086
336	HP:0003384	Peripheral axonal atrophy	2.0	2.0	4	3.10612835086
337	HP:0000131	Uterine leiomyoma	2.0	2.0	4	3.10612835086
338	HP:0003575	Increased intracellular sodium	1.0	1.0	2	3.10612835086
339	HP:0007185	Loss of consciousness	1.0	1.0	2	3.10612835086
340	HP:0200049	Upper limb hypertonia	1.0	1.0	2	3.10612835086
341	HP:0001963	Abnormal speech discrimination	1.0	1.0	2	3.10612835086
342	HP:0012133	Erythroid hypoplasia	2.0	2.0	4	3.10612835086
343	HP:0006722	Small intestine carcinoid	1.0	1.0	2	3.10612835086
344	HP:0005354	Lack of T cell function	1.0	1.0	2	3.10612835086
345	HP:0011814	Increased urinary hypoxanthine	1.0	1.0	2	3.10612835086
346	HP:0007740	Long eyelashes in irregular rows	1.0	1.0	2	3.10612835086
347	HP:0012817	Noncompaction cardiomyopathy	1.0	1.0	2	3.10612835086
348	HP:0008322	Abnormal mitochondrial morphology	1.0	1.0	2	3.10612835086
349	HP:0005010	Osteomyelitis leading to amputation due to slow healing fractures	1.0	1.0	2	3.10612835086
350	HP:0000725	Psychotic episodes	9.0	9.0	18	3.10612835086
351	HP:0001218	Autoamputation	1.0	1.0	2	3.10612835086
352	HP:0008320	Impaired collagen-induced platelet aggregation	1.0	1.0	2	3.10612835086
